title,description,hub,coeType,enablementCategory,contentType,teams,products,format,externalUrl,videoUrl,slidesUrl,keyAssetUrl,keyAssetLabel,presenter,duration,publishDate,featured,priority
Customer Asset Library,"This spreadsheet, titled ""FY26 Customer Meetings + BVAs,"" serves as a customer asset library to track and store materials from customer engagements such as Business Value Assessments (BVA), Executi...",coe,meeting-asset,,,sales,,,https://docs.google.com/spreadsheets/d/1F6hagYyIKi614gmOO7WedoCs2CItxOoCVepQTXQiWTQ/edit?gid=1403690311#gid=1403690311,,,,,,,,FALSE,
Asset Submission Form,Form for submitting new enablement assets and content to the CoE repository.,coe,internal-best-practice,,,sales|customer-success,,,https://docs.google.com/forms/d/e/1FAIpQLScT21C-U0bDh0wXbAYRttoNr1pZa-Dhk8UJZdmbhi3pzB7Fdw/viewform,,,,,,,,FALSE,
Sales to CS Handoff Template,"This document is a ""Sales to CSM Hand-Off Sheet"" template designed to facilitate a smooth transition of a customer account from the sales team to the Customer Success Management (CSM) team.",coe,tool,,,sales|customer-success|implementation,journeys|insights-dashboards,,https://docs.google.com/document/d/1M0rIA7QBIgUsW3FjVgtZDA_46g9ZYp0C8VQ_7NAHnpo/edit?tab=t.0#heading=h.cfwyuyvb0ol1,,,,,,,,FALSE,
Smith Optics Example,"This document is the Sales to Customer Success Management (CSM) hand-off sheet for the Smith Optics account, outlining a formal transition process, a detailed account overview, and a deal summary f...",coe,meeting-asset,,,sales|customer-success|implementation,,,https://docs.google.com/document/d/1HywoayjnDvphx0CtZ2n8z2OcDRSFSlH76ChokhKuNjs/edit?tab=t.0#heading=h.5xhhdnu9py0g,,,,,,,,FALSE,
Birkenstock Example,"This document is a Gladly Customer Handoff Form for the Birkenstock account. It outlines the customer overview, including Birkenstock's retail industry, primary contact Nathaniel Yordan, and compan...",coe,meeting-asset,,,sales|implementation,gladly-sidekick,,https://docs.google.com/document/d/1iBOiwCrJX2BrTAPRtSklTKqoeu567j0rTB56N2nwINE/edit?tab=t.0#heading=h.2n68j0sv88so,,,,,,,,FALSE,
Rules of Engagement 2025,"This document, Sales Rules of Engagement 2025, outlines the guidelines for the Gladly Sales Team concerning account ownership, award distribution, and handling conflicts to ensure fairness and maxi...",content,,,document,sales,gladly-team,,https://docs.google.com/document/d/1bP8Me45egh-C66SbsoTQOyObrlYXhb58pY-h6jiEY0I/edit?usp=sharing,,,,,,,,FALSE,
Salesforce Guide,"This document, titled ""Sales - Salesforce Guide,"" serves as a comprehensive resource for the Sales team, detailing key opportunity fields and reports within Salesforce.",content,,,document,sales,insights-dashboards,,https://docs.google.com/document/d/1S-6K8kPROoVJIKYsS0qF1Sffw4K-itn5gfKvdsCOwl4/edit?usp=sharing,,,,,,,,FALSE,
Sales Attribution Guide,"This document is a presentation detailing a company's sales attribution model, which is used to measure how marketing and sales activities influence the pipeline.",coe,meeting-asset,,,sales,,,https://docs.google.com/presentation/d/1HGD3xdJDt3RXLTLQwI8WNkv6Lj8qsR4XiLqfS3s921A/edit?usp=sharing,,,,,,,,FALSE,
Ready To Win Dashboard,Salesforce dashboard tracking deal readiness and opportunity health indicators.,content,,,document,sales,insights-dashboards,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002EJ01MAG/view?queryScope=userFolders,,,,,,,,FALSE,
Weekly Forecast - SLT,Senior Leadership Team weekly forecast dashboard for pipeline and revenue tracking.,content,,,document,sales,,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002aBgXMAU/view?queryScope=userFolders,,,,,,,,FALSE,
Gladly Academy,Gladly's customer training platform with self-paced courses and certifications.,content,,,document,sales,gladly-team,,https://academy.gladly.com/,,,,,,,,FALSE,
Gladly Integrations Marketplace,Browse available integrations and partnership options for the Gladly platform.,content,,,document,sales,gladly-team,,https://www.gladly.ai/integrations/,,,,,,,,FALSE,
CX Benchmark Reports,Industry benchmark reports comparing CX performance across retail sectors.,content,,,document,sales,insights-dashboards,,https://cdn.sanity.io/files/ny21dgz6/production/612a9d414bff8e7e4f647c467532b4e08c617b76.pdf,,,,,,,,FALSE,
SOW (implementation) Packages,Implementation package options and SOW templates for professional services.,content,,,document,sales|implementation,,,https://help.gladly.com/implementation/docs/implementation-packages,,,,,,,,FALSE,
Gladly Trust (Security & Compliance),"Security certifications, compliance documentation, and trust center resources.",content,,,document,sales,gladly-team,,https://trust.gladly.com/,,,,,,,,FALSE,
Customer Interest Tracker,"This spreadsheet, titled ""Email & Voice,"" serves as a tracker for various accounts interested in or implementing Sidekick Email and/or Sidekick Voice products.",content,,,document,sales|customer-success|implementation,gladly-sidekick,,https://docs.google.com/spreadsheets/d/1tOFcQUvVg6cSHAq-JY8TwLn2qewbmZ3ZgRmQ-tJSffI/edit?gid=2127367014#gid=2127367014,,,,,,,,FALSE,
Mutual Action Plan,"This spreadsheet, titled ""Evaluation Project Plan,"" outlines the phases and milestones for a potential customer's evaluation and implementation of the Gladly platform.",content,,,document,sales|implementation,gladly-team,,https://docs.google.com/spreadsheets/d/1ITLchrUDhkvU7DsxhNNN6kUbTYKWHMjohSpQ5gtNK00/edit?gid=560636638#gid=560636638,,,,,,,,FALSE,
Proposal Template,"This spreadsheet is a pricing proposal for ""Gladly Hero"" and includes general contract information.",content,,,document,sales,gladly-team,,https://docs.google.com/spreadsheets/d/187LXdG7xKeCQwKdjikjDZxhAAHpMJHna/edit?gid=1659187427#gid=1659187427,,,,,,,,FALSE,
MEDPICCC Scorecard Template,"This spreadsheet appears to be a sales methodology or deal qualification checklist, using criteria like Metrics, Economic Buyer, Decision Criteria, and Champion, indicated by the acronyms in the fi...",coe,tool,,,sales,,,https://docs.google.com/spreadsheets/d/1IEQ8w-FyK91FRismy5oOW3OKfJDSlaccdK8vqRlvL-U/edit?gid=0#gid=0,,,,,,,,FALSE,
Content Garden,"This spreadsheet, titled ""Content Garden,"" appears to be an inventory of marketing and content assets related to customer experience (CX) and Artificial Intelligence (AI).",content,,,document,sales,,,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit?gid=921100291#gid=921100291,,,,,,,,FALSE,
Proof Point Repository,"This spreadsheet, titled ""Metrics of Success,"" catalogs various performance metrics and results achieved by different brands or internal calculations, primarily related to the ""Gladly Hero"" and ""Gl...",coe,tool,,,sales,gladly-sidekick,,https://docs.google.com/spreadsheets/d/1Y0n1rVskWIzWcegwCbfP7YUXkjV58TFf5S7LLxMkFNA/edit?gid=1725734072#gid=1725734072,,,,,,,,FALSE,
Roadmap Figma Prototypes,"This document, titled ""Product Prototypes + Scripts 2025,"" outlines several Gladly prototypes including Guides and Sidekick Sales, along with their corresponding scripts, directions, and links to F...",content,,,document,sales|solutions-consultant,gladly-sidekick|guides,,https://docs.google.com/document/d/10YIgb8-OUFY7K_fbhXZByC30PqgLfDZ4HLPqN-9e6Go/edit?tab=t.e47fz4z840sx#heading=h.d25glnaujae3,,,,,,,,FALSE,
First Meeting Deck Template,"This is the ""First Meeting Deck"" for Gladly, a Customer Experience (CX) platform, designed to introduce their solution powered by Customer AI.",content,,,deck,sales|customer-success,gladly-team,,https://docs.google.com/presentation/d/1Qdyxq28dI7SgXoglXYJeTR0ErMc3Z0VFYKfCOg5dOhA/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
Sidekick Standalone Deck template,"This presentation introduces Sidekick for [platform], an AI-powered customer experience solution designed to be Conversational, Agentic, and Contextual, resolving the false choice between efficient...",enablement,,value-realization,,sales|customer-success,gladly-sidekick,on-demand,,https://docs.google.com/presentation/d/13zg3jeg-RM2d8IY04dsXC4gxZfveHg6fYIVMOTueCTc/edit?slide=id.g3533f3539b1_0_332#slide=id.g3533f3539b1_0_332,,,,,,,FALSE,
Buyout program Deck,"This document is a confidential, internal sales presentation template for a ""Buyout Program"" offered by Gladly.",content,,,deck,sales,gladly-team,,https://docs.google.com/presentation/d/1cIkq1VaWWpDKbLiloUbFm0y0om6STAOwpBlBxHjjNyw/edit?slide=id.g26455bc3513_4_48#slide=id.g26455bc3513_4_48,,,,,,,,FALSE,
White Glove Implementation Service Template,"This document is a sales template for Gladly's ""White Glove Implementation Service,"" which is a premium offering designed to accelerate deals by removing IT-related objections and taking on a great...",content,,,document,sales|implementation,gladly-team,,https://docs.google.com/presentation/d/1jz0QT608uwqKy4-Q_EHKmCK4LBhGU6-E5O_g91f-nHY/edit?slide=id.g26455bc3513_4_48#slide=id.g26455bc3513_4_48,,,,,,,,FALSE,
Sales Implementation Template,"This is the ""Implementation Template: 101 Sales"" deck, a resource for the Sales team to manage the first of three customer touchpoints following a new deal.",content,,,document,sales|implementation,gladly-team,,https://docs.google.com/presentation/d/1MHch8KiJuchtUqvvzda3d6H4kUPi39ixqPoUNYhIQSk/edit?usp=drive_link,,,,,,,,FALSE,
Gladly One Pager,"This document is a one-pager overview of the Gladly AI-powered Customer Service Platform, designed to transform support experiences by putting the customer at the center of every service conversation.",content,,,one-pager,sales,gladly-sidekick,,https://drive.google.com/file/d/1bT7UvpYZ3fWHfvuc_3ZQoE8AKPnoLDul/view?usp=sharing,,,,,,,,FALSE,
Customer AI One Pager,". It is designed around customers and continuous conversations—not tickets—offering genuinely intelligent understanding of customer intent and operating fluently across all channels, including voic...",content,,,one-pager,sales,,,https://drive.google.com/file/d/1dVUrfYkQUHbuUY2kiM3WnfnoZOlGLY1D/view?usp=sharing,,,,,,,,FALSE,
Sidekick One Pager,". Sidekick uses ""Customer-first intelligence"" to see the full picture and offers ""Sidekick Answers"" to deliver instant, accurate information from your knowledge base, and ""Sidekick Actions"" for rea...",content,,,one-pager,sales,gladly-sidekick,,https://drive.google.com/file/d/1Xl3R5PDZoySXnOno8LDVcNiyCbwmOvHW/view?usp=drive_link,,,,,,,,FALSE,
Tickets vs Customer One Pager,This document compares Ticket-Based vs. Customer-Based CX Systems to illustrate how customer experience solutions have evolved to meet modern customer expectations.,content,,,one-pager,sales,,,https://drive.google.com/file/d/1Oa8C8FDs3SroU03unBen6fPGkAUpn-_Y/view?usp=drive_link,,,,,,,,FALSE,
Gladly Eliminates Silos One Pager,"This document, titled ""Use Case One Pager,"" explains how Gladly eliminates Customer Experience (CX) silos by fully integrating conversations into a unified, customer-first platform.",content,,,one-pager,sales,gladly-sidekick,,https://drive.google.com/file/d/1pY4hOMPc7YhXm2AskFHACR6Zw33MDcnR/view?usp=sharing,,,,,,,,FALSE,
Sidekick Voice One Pager,"This document is a product one-pager for Gladly's ""Sidekick Voice,"" an AI-powered solution designed to deliver instant, personalized, and human-like customer support over the phone.",content,,,one-pager,sales,gladly-sidekick,,https://drive.google.com/file/d/1wxAKviS7giWFTpBeAyQBpafinG9gjk-n/view?usp=drive_link,,,,,,,,FALSE,
Guides and Journeys One Pager,"This document is a product one-pager for Gladly Customer AI's Guides and Journeys for Sidekick, designed to let customer teams own their AI strategy without needing IT support or technical expertise.",content,,,one-pager,sales,gladly-sidekick|guides|journeys,,https://drive.google.com/file/d/1AqXx3BV7UtlUeiovr20Dsc1Rc2qS-u9f/view,,,,,,,,FALSE,
Sales + Marketing Org Chart,"This spreadsheet, titled ""Sales Org Chart,"" serves as a directory for employees, primarily within the Sales and Marketing organizations.",content,,,document,sales,,,https://docs.google.com/spreadsheets/d/1Dv2ePK-KcJlB0wu-en-hpKzO6titiAvG5Uj3xnmrZIs/edit?gid=0#gid=0,,,,,,,,FALSE,
Sales Force Guide,"This document, the Sales - Salesforce Guide, serves as a centralized resource for the Sales team to understand key Salesforce opportunity fields, reports, and associated definitions.",content,,,document,sales,insights-dashboards,,https://docs.google.com/document/d/1S-6K8kPROoVJIKYsS0qF1Sffw4K-itn5gfKvdsCOwl4/edit?tab=t.h9ag4pgmc390#heading=h.hd88vogbr7a4,,,,,,,,FALSE,
Demoing Gladly Set Up Instructions,"This document is the comprehensive ""go-to guide"" for setting up and conducting a product demonstration of Gladly, an AI-powered customer service platform.",content,,,document,customer-success|solutions-consultant,gladly-team,,https://docs.google.com/document/d/1_ghQAlKgoWlT6vJeZ93hOkP4x6Eg5ft3alxyebSrs5s/edit?tab=t.8he7fz6pw1bq#heading=h.mr16ie5z3f3u,,,,,,,,FALSE,
Gladly Platform Demo Guide & Script | Q2 2025 Demo Certification,This document is the comprehensive Gladly Platform Demo Guide & Script for the Q2 2025 Demo Certification.,enablement,,internal-ops,,customer-success|solutions-consultant,gladly-sidekick|guides|journeys,course,,https://docs.google.com/presentation/d/12YzsXee5kkEtBO9vTFsI2SEfJrkjhd2zpVgqtNEwDT8/edit?slide=id.p1#slide=id.p1,,,,,,,FALSE,
Demo Enablement: Mapping to Gladly Narrative,"This document is a ""Discovery and Scoping Worksheet"" designed to provide Solutions Consultants (SCs) with comprehensive scoping and discovery questions, organized by category.",enablement,,gtm-strategy,,sales|customer-success|solutions-consultant|implementation,gladly-team,on-demand,,https://docs.google.com/document/d/1giuqDNNjtd_ziX4zDraftQtgVBFdoPN7yFP6M7hwkQs/edit?tab=t.496d7ppa3z8w#heading=h.y191vu3qqtk1,,,,,,,FALSE,
Project Discovery & Scoping (SC),"This document is a ""Discovery and Scoping Worksheet"" designed to provide Solutions Consultants (SCs) with comprehensive scoping and discovery questions, organized by category.",content,,,document,sales|customer-success|solutions-consultant|implementation,,,https://docs.google.com/spreadsheets/d/1lEFVhGrIfID9uMZfkNiMPcIfEfzmNsJTBE5xUA1QUIA/edit?gid=368153992#gid=368153992,,,,,,,,FALSE,
Strategic Discovery Questions (SC's),This document is a strategic guide containing categorized discovery questions intended for Sales Consultants (SC's) to use during deep-dive conversations with potential clients.,coe,tool,,,sales|solutions-consultant,,,https://docs.google.com/document/d/1ZFZplRWjxyZ7AUeTZz8Ky7NGsTT_JS8TeZz0_nbGFq8/edit?tab=t.0,,,,,,,,FALSE,
[Template] Gladly x [customerName] - SOW Readout Deck,"This document is a template for a Statement of Work (SOW) Readout Deck, designed to outline the project plan for a customer's implementation of the Gladly customer service platform, with a focus on...",content,,,deck,customer-success|solutions-consultant|implementation,gladly-team,,https://docs.google.com/presentation/d/12YzsXee5kkEtBO9vTFsI2SEfJrkjhd2zpVgqtNEwDT8/edit?slide=id.p1#slide=id.p1,,,,,,,,FALSE,
SOW Scoping + Readout Deck (MANSCAPED),"This document is a Statement of Work (SOW) Scoping and Readout Deck that outlines the proposed project timeline, scope, and implementation details for a customer project, including channels, histor...",content,,,deck,customer-success|solutions-consultant|implementation,gladly-team|insights-dashboards,,https://docs.google.com/presentation/d/1w3QooAsWLRNNFJdI8hs7DU-I9xcBQOg7bvoDK9fzWfA/edit?slide=id.g35529eeec06_0_579#slide=id.g35529eeec06_0_579,,,,,,,,FALSE,
Implementation Template: 201 SC,"This document is the ""Implementation Template: 201 Solutions Consultant"" deck, intended for use during the customer scoping phase to prepare a proposal, clarify customer needs, and introduce implem...",content,,,document,sales|customer-success|solutions-consultant|implementation,,,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,,,,,FALSE,
Demo Monkey Training,"This video is a training session on how to use the Demo Monkey Chrome extension to customize the look and text of a demonstration environment and a prospect's website, such as changing generic reta...",enablement,,product,,customer-success|solutions-consultant,gladly-sidekick|insights-dashboards,on-demand,,https://drive.google.com/file/d/1k69fFByM3yZ-4XZm6b6u0me53ZO44Qdr/view,,,,,,,FALSE,
Salesforce Guide,"This document, the ""CS Salesforce Guide,"" serves as a comprehensive resource for understanding key Customer Success (CS) opportunity fields in Salesforce.",content,,,document,sales|customer-success,,,https://docs.google.com/document/d/1cYQAXEPb3wb8XxzDJMdaCzMtEvyUSb_VwJc-dMsDUJc/edit?usp=sharing,,,,,,,,FALSE,
QBR Guide,"This document outlines an automated process for creating Quarterly Business Review (QBR) slide decks to ensure greater accuracy, speed, and quality while saving time for both CSMs and RevOps.",content,,,document,customer-success,,,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit?usp=sharing,,,,,,,,FALSE,
CSM Compensation Guide (FY2026 Q2),"This document is the CSM Compensation Guide FY2026, which details the variable compensation models for Customer Success Managers across Q1, Q2, and Q3.",content,,,document,customer-success,,,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/,,,,,,,,FALSE,
Pod Success Dashboard,"This document appears to be a README sheet for a spreadsheet used to track customer experience (CX) data, specifically focusing on forecast, pace, and resolution for a set of top accounts.",content,,,document,customer-success,insights-dashboards,,https://docs.google.com/spreadsheets/d/1TcjaiHWCc74sM9rRSP9UcN8rtxhoBUUI7sMKRetOpro/edit?usp=sharing,,,,,,,,FALSE,
Renewals Dashboard,Salesforce dashboard for tracking customer renewals pipeline and retention metrics.,content,,,document,customer-success,insights-dashboards,,https://gladly.lightning.force.com/lightning/r/Dashboard/01Z8a0000010XbjEAE/view?queryScope=userFolders,,,,,,,,FALSE,
Product Utilization - (CSM),Dashboard tracking product utilization metrics for Customer Success team oversight.,content,,,document,customer-success,,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002I19NMAS/view,,,,,,,,FALSE,
Consumption Dashboard,Dashboard monitoring customer consumption patterns and usage trends.,content,,,document,customer-success,insights-dashboards,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002gUYPMA2/view,,,,,,,,FALSE,
Executive Meeting Schedule & Summaries,"This document contains detailed meeting notes from May to December 2025 regarding Gladly's partnership with Nordstrom, outlining executive discussions and technical workstreams.",content,,,document,customer-success,gladly-sidekick,,https://docs.google.com/document/d/1r8gaizvRrwq9_cO4py62TSXoTbB5M68NJMvATRjugtE/edit?tab=t.0#heading=h.nzm35iuxl10v,,,,,,,,FALSE,
Exec Summary Template,Template for creating executive business review summary documents.,content,,,document,customer-success,,,https://docs.google.com/document/d/14LpTNuM_v8QvJMv4122mFbkS_tWiLaMQPQ_oKpzBcaw/template/preview,,,,,,,,FALSE,
Customer AI Guide,Comprehensive guide to Gladly's Customer AI capabilities and implementation.,content,,,document,customer-success,,,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,,,,FALSE,
CS Introduction Template (QUINCE),"This document is the ""Quince + Gladly Success Introduction 6.25"" presentation, outlining the kickoff of the customer success partnership between the customer service platform Gladly and the brand Q...",content,,,document,customer-success,gladly-team,,https://docs.google.com/presentation/d/18Wh79N-YB3I71kxlLcTbgOiMvo4X2YIWwq25mSRFR4w/edit?slide=id.g3623cbcd2d1_4_143#slide=id.g3623cbcd2d1_4_143,,,,,,,,FALSE,
Automated QBR Decks,"This presentation, titled ""Automating QBRs: Less Manual Work, More Impact!"", outlines the process for requesting an automated Quarterly Business Review (QBR) slide deck.",content,,,deck,customer-success,,,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit?slide=id.g35df72a2580_0_132#slide=id.g35df72a2580_0_132,,,,,,,,FALSE,
