slug,title,description,hub,cardType,contentType,pageTemplate,format,products,teams,topics,journeyStages,audiences,presenter,duration,difficulty,publishDate,featured,priority,externalUrl,videoUrl,wistiaId,slidesUrl,transcriptUrl,keyAssetUrl,keyAssetLabel,thumbnailUrl,keyTakeaways,actionItems,readingTime,competitor,enablementCategory,status
first-meeting-deck-release-2-0,First Meeting Deck - Release 2.0,"The comprehensive ""mega deck"" for initial prospect presentations. Contains POV slides, solution overview, core features, vertical kits, architecture slides, and social proof templates. Think of it like cleats - meant to be scuffed up and customized.",content,content-card,deck,micro-learning,template,,,,,,,,,2025-11-21,FALSE,70,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit?slide=id.g3a79279a5a3_1_2#slide=id.g3a79279a5a3_1_2,,,,,,,,,,,,,published
first-meeting-pitch-play,First Meeting Pitch Play,How to create and customize your deck for any first sales meeting.,enablement,enablement-article,,training-session,article,sidekick,,,,,Alex Tzeng,60,,2025-04-24T23:40:00.000Z,FALSE,90,,,,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit?slide=id.g3a79279a5a3_1_2#slide=id.g3a79279a5a3_1_2,,,,,,,,,GTM,published
flip-competitive-sk-voice-roadmap,Flip Competitive + SK Voice Roadmap,"Enablement session on Sidekick Voice competitive positioning against Flip, including performance improvements, battlecard details, product roadmap to close gaps, and GTM expansion strategy.",enablement,enablement-article,training,training-session,,,,,,,,,,2025-09-04,FALSE,80,,https://drive.google.com/file/d/1W2HcWCAl5IdcQQlTGAXw_BgLWAmvXz9B/view?usp=drive_link,,https://docs.google.com/presentation/d/1T9200y6CYXC7BmsWVJBxQWMti75TV7TeId4lXmST8f8/edit?usp=drive_link,https://docs.google.com/document/d/1tlbcA_le58qtw96lnY_LCTuzRULISytxOw6F-8ZVX3U/edit?usp=drive_link,,,,,,,,Competitive,published
follow-up-template,Follow-up Template,Post-meeting follow-up email template,content,content-card,template,micro-learning,template,"sidekick, classic, voice",sales,,,,,,,2025-11-08,FALSE,50,https://docs.google.com/document/d/1f2FfOZ2NcfxbAZKKiKU2lf0MHmqDoTSOmPywWeZ2LKw/edit,,,,,,,,,,,,,published
gtm-all-hands-q4-kick-off,GTM All Hands Q4 Kick Off,"Comprehensive Q4 go-to-market kickoff covering Q3 performance highlights, team recognition, and strategic priorities including standalone AI focus, vertical expansion, and technical buyer engagement.",enablement,,,,,,,,,all-teams,GTM Leadership,60 min,,2025-12-01T19:09:40.015Z,FALSE,50,,,,https://docs.google.com/presentation/d/1q1uVz-RKyv-wweaHjbuv_KFzx5HXuObSct6tOMUD3ZY/edit?slide=id.g3454249e2df_30_67#slide=id.g3454249e2df_30_67,,,,,,,,,GTM Strategy,published
gladly-20-demo-update,Gladly 2.0 Demo Update,"What has changed, what is available, & live walkthrough",enablement,content-card,training,training-session,live-replay,"sidekick, classic","sales, customer-success",,,,,55,,2025-05-29,FALSE,80,,https://drive.google.com/file/d/1sU3eMBBSqSOfMzS2ob-CDzusTlhb2p12/view,,,,,,,,,,,Product,published
guides-journeys-one-pager,Guides & Journeys One-Pager,Proactive guidance product overview,content,content-card,one-pager,micro-learning,document,classic,sales,,,,,,,2025-10-30,FALSE,50,https://drive.google.com/file/d/1AqXx3BV7UtlUeiovr20Dsc1Rc2qS-u9f/view,,,,,,,,,,,,,published
how-revops-launches-launch-tiering,How RevOps Launches (Launch Tiering),Launch tiering documentation,content,content-card,,micro-learning,document,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1Sobop3Di3Y5op6yRL-me8D9-cbEHRkeeor2mVlJRCgE/edit,,,,,,,,,,,,,published
how-to-work-with-revops,How To Work With RevOps,Guide on working with RevOps team,content,content-card,,micro-learning,document,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1Yi5C5X6SsKeMx0mLloP_kR1gQk9wc3sJL6h-peJbfXw/edit,,,,,,,,,,,,,published
internal-segmentation-guide,Internal Segmentation Guide,Internal segmentation methodology,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1ccNh6ZByNbiYr4zDymvM1TQQF6JZ3JAGSOwHYIXXATM/edit,,,,,,,,,,,,,published
marketing-attribution-guide,Marketing Attribution Guide,Marketing attribution methodology,content,content-card,deck,micro-learning,deck,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/presentation/d/18732hX3L2Hm5ySPYd78K_UzoqEWVKbvGcGJVIcn7oQM/edit,,,,,,,,,,,,,published
marketing-dashboard,Marketing Dashboard,Marketing performance dashboard,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000001rOrdMAE/view,,,,,,,,,,,,,published
marketing-efficiency-metrics,Marketing Efficiency Metrics,Marketing efficiency documentation,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1yJFu07fKdeAyOgFFJBZKmFQTajAAbsuwxMtiWxXFYYE/edit,,,,,,,,,,,,,published
messaging-preview-doc,Messaging Preview Doc,Updated messaging preview and positioning,content,content-card,,micro-learning,document,"sidekick, classic, voice",sales,,,,,,,2025-06-06,FALSE,50,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit,,,,,,,,,,,,,published
unwrap-ai-partnership-enablement,Monthly Partnership Enablement: Unwrap.ai,"Partnership enablement for Unwrap.ai, Gladly's new data and analytics partner. Learn how Unwrap uses AI to aggregate unstructured customer feedback from multiple sources and extract granular insights, enabling faster issue detection and voice of customer analysis.",enablement,enablement,,training-session,,,,,,,"Nathan Smith, Ben Altneu, Ryan (Unwrap CEO)",30 min,,2025-11-12,FALSE,70,,,,,,,,,,,,,Partner,published
pipeline-coverage-board-reporting,Pipeline Coverage - Board Reporting,Board-level pipeline reporting,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/spreadsheets/d/1lJk3sbUAvABXpzskfh-I7OjwYHCtYb8kM-oWZgx3f0o/edit,,,,,,,,,,,,,published
pipeline-reporting-eoq-documentation,Pipeline Reporting - EOQ Documentation,End of quarter pipeline documentation,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/spreadsheets/d/11XMQOYakYqJPk7QdEZGKGdPa1mgOAe_N_XWSSPEROHk/edit,,,,,,,,,,,,,published
pipeline-reporting-weekly-bus-review,Pipeline Reporting - Weekly Bus Review,Weekly pipeline reporting,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/spreadsheets/d/1OeuVoAEZjRyWrm1_0vtKAT_voOpykuHXqsNF56LX_24/edit,,,,,,,,,,,,,published
pod-success-dashboard,Pod Success Dashboard,Pod success tracking,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/spreadsheets/d/1TcjaiHWCc74sM9rRSP9UcN8rtxhoBUUI7sMKRetOpro/edit,,,,,,,,,,,,,published
per-system-training,Product Enhancement Request System,A new centralized system in Salesforce to effectively capture customer feedback,enablement,enablement-article,,,live-replay,,,,,,"Gary Condit, Vicki Tran",60 min,,2025-11-30T00:00:00.000Z,FALSE,87,,,,https://docs.google.com/presentation/d/1hvLu8XdxbCTzraq9wmOyLD7dPuEFyBgP70RW1gG5Qwk/edit?usp=drive_link,https://docs.google.com/document/d/1SmyJaFPjymwrbDsOnY6Z_RzADtfUFsl__pP_2cQhvU8/edit?tab=t.oro21js4idjr,,,,,,,,Internal Ops,published
product-enhancement-request-user-guide,Product Enhancement Request User Guide,How to submit product enhancement requests,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1Zuc3NdCiqGv_p1okxRMMOXutso9ZP3pPH3KL9GW8yBI/edit,,,,,,,,,,,,,published
product-utilization-csm,Product Utilization - (CSM),Product utilization metrics,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002I19NMAS/view,,,,,,,,,,,,,published
project-brief-templates,Project Brief Templates,Project brief template,content,content-card,template,micro-learning,template,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1-6PZXNsCDD6DBZET-Cs8cMWc_WdH4w82z5jeLeIGVKk/template/preview,,,,,,,,,,,,,published
qbr-guide,QBR Guide,Quarterly business review guide,content,content-card,deck,micro-learning,deck,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit,,,,,,,,,,,,,published
ready-to-win-dashboard,Ready To Win Dashboard,Sales readiness dashboard,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002EJ01MAG/view,,,,,,,,,,,,,published
renewals-dashboard,Renewals Dashboard,Renewals tracking,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01Z8a0000010XbjEAE/view,,,,,,,,,,,,,published
revops-ticket-submission,RevOps Ticket Submission,Asana form for RevOps ticket submission,content,content-card,,micro-learning,document,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://form.asana.com/?k=vEFTHN5vMhk-uFvmAXLNmw&d=238013372418030,,,,,,,,,,,,,published
rules-of-engagement-2025,Rules of Engagement 2025,Rules of engagement for sales,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1bP8Me45egh-C66SbsoTQOyObrlYXhb58pY-h6jiEY0I/edit,,,,,,,,,,,,,published
sales-attribution-guide,Sales Attribution Guide,Sales attribution methodology,content,content-card,deck,micro-learning,deck,,sales,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/presentation/d/1HGD3xdJDt3RXLTLQwI8WNkv6Lj8qsR4XiLqfS3s921A/edit,,,,,,,,,,,,,published
sales-process-foundational-training-s0-s1,Sales Process Foundational Training: S0→S1,"A comprehensive reset and alignment for the Sales team on the updated Gladly Sales Process, focusing on the transition from Stage 0 (S0) to Stage 1 (S1). Learn the four mandatory qualification criteria, sales team roles by segment, and new Salesforce automation rules designed to speed up sales cycles and provide clearer paths to quota.",enablement,enablement-article,training,training-session,,,,,,,RevOps Team,60,,2025-11-18T05:00:00.000Z,FALSE,,,https://drive.google.com/open?id=1UHYUQWIHF8iZYJ399KDmCuv86GfkZSGw,,https://drive.google.com/open?id=1jt6LRfLN-KUjVYqA3JKD2hMLIl0pn490,https://drive.google.com/open?id=1dv4kOy8PcAOCpqi01Yt4ip5g4RyuNhc9i1qZWeo0eEA,,,,,,,,GTM,published
salesforce-guide-cs,Salesforce Guide (CS),Salesforce usage guide for CS,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1cYQAXEPb3wb8XxzDJMdaCzMtEvyUSb_VwJc-dMsDUJc/edit,,,,,,,,,,,,,published
salesforce-guide-sales,Salesforce Guide (Sales),Salesforce usage guide for sales,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1S-6K8kPROoVJIKYsS0qF1Sffw4K-itn5gfKvdsCOwl4/edit,,,,,,,,,,,,,published
selling-sidekick-standalone-for-zendesk,Selling Sidekick Standalone for Zendesk,"Learn how Gladly sales teams successfully sell the Sidekick standalone offering for Zendesk, including key strategies, customer case studies, and best practices.",enablement,content-card,training,,live-replay,gladly,,,,,,60,,2025-12-01T05:18:29.284Z,FALSE,80,,https://drive.google.com/file/d/1DrCVPlu_WJK4zmTgk6IDvfTuEMeeanEw/view,,,,,,,,,,,Playbook,draft
sidekick-sales-launch-training,Sidekick Sales Launch Training,"Comprehensive launch training for Sidekick Sales covering what it is, how it works, competitive positioning, go-to-market strategy, and available sales assets. Learn how to position Sidekick Sales as a solution that turns every conversation into an opportunity for revenue.",enablement,enablement-article,,training,live-replay,,,,,,"Austin Reece, Kyle Kacius",60 min,,2025-09-11T00:00:00.000Z,TRUE,88,,,,https://docs.google.com/presentation/d/1tQOXRDoAZl60XkKeP6ctX_Z5fbuPU_Tuk6EeQzvEHmw/edit?usp=drive_link,https://docs.google.com/document/d/1m7qlzfOTFiudzAI8NoW7_H7NHx_vfviR1mdFpX1UCIk/edit?usp=drive_link,,,,,,,,Product,published
sidekick-standalone-deck,Sidekick Standalone Deck,Standalone product pitch presentation,content,content-card,deck,micro-learning,document,sidekick,sales,,,,,,,2025-11-08,FALSE,50,https://docs.google.com/presentation/d/13zg3jeg-RM2d8IY04dsXC4gxZfveHg6fYIVMOTueCTc/edit,,,,,,,,,,,,,published
sidekick-standalone-land-grab,Sidekick Standalone Land Grab,Strategies for rapid Standalone adoption and market penetration,enablement,content-card,training,training-session,live-replay,"sidekick, classic","sales, customer-success",,,,,50,,2025-08-28,FALSE,80,,https://drive.google.com/file/d/1JOAKiN2kjorvZR1AG2f-5Uu3BiXKaeIK/view,,,,,,,,,,,GTM,published
sidekick-voice-one-pager,Sidekick Voice One-Pager,Voice AI capabilities overview,content,content-card,one-pager,micro-learning,document,voice,sales,,,,,,,2025-11-05,FALSE,50,https://drive.google.com/file/d/1wxAKviS7giWFTpBeAyQBpafinG9gjk-n/view,,,,,,,,,,,,,published
social-proof-case-studies,Social Proof Case Studies,Customer testimonials and success stories deck,content,content-card,,micro-learning,document,"sidekick, classic, voice",sales,,,,,,,2025-11-15,FALSE,50,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit,,,,,,,,,,,,,published
social-proof-slides,Social Proof Slides,Customer testimonials and social proof,content,content-card,deck,micro-learning,document,"sidekick, classic, voice",sales,,,,,,,2025-10-15,FALSE,50,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit,,,,,,,,,,,,,published
sprint-planning-boards,Sprint Planning Boards,Asana sprint planning portfolio,content,content-card,,micro-learning,document,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://app.asana.com/0/portfolio/1209972750071019/1209982290683926,,,,,,,,,,,,,published
standalone-sk-demo-figma,Standalone SK Demo (Figma),"Training on new Sidekick Standalone demo materials, including Figma mocks for third-party helpdesk handoffs. Covers the demo flow, ZenDesk handoff capabilities, Sidekick's trust layer architecture, and upcoming demo training track.",enablement,enablement,,training-session,,,,,,,"Steve West, Christian Eberle, Christian Shockley",30 min,,2025-09-15,FALSE,70,,,,,,,,,,,,,Product,published
technical-buyer-enablement-ciocto,Technical Buyer Enablement (CIO/CTO),"Learn how to effectively engage CIOs and CTOs at your top accounts. This session covers why technical buyers are now more accessible than ever due to AI initiatives, how to tailor your messaging to their specific priorities, and proven strategies for getting ""in the room where it happens"" before competitors like Sierra do.",enablement,content-card,training,training-session,live-replay,"sidekick, classic","sales, customer-success",,,,"Gina Vivar, Steve West, Andy D'Amato, Marcus Tetwiler",47 min,,2025-10-16,TRUE,80,,https://drive.google.com/file/d/1ZXszCroPsKZr84Nt560OikWmgpzjM1xU/view?usp=drive_link,,https://docs.google.com/presentation/d/1NXc2GmnFDOmtePM-c9G0GrSlY5Fb0VXZHWZKrOF0MuY/edit?usp=drive_link,https://docs.google.com/document/d/1pOmV9otFQzxRRtJxW5sYvGLD0w_Nv2vI52DjAGuB5J8/edit?usp=drive_link,,,,,,,,GTM,published
user-story-training,User Story Training,User story training presentation,content,content-card,deck,micro-learning,deck,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://docs.google.com/presentation/d/1fBesrTk4MD-qAhYUrRxBdwvni8hmhmGIm03hLRhUuaw/,,,,,,,,,,,,,published
weekly-forecast-slt,Weekly Forecast - SLT,Weekly forecast for SLT,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002aBgXMAU/view,,,,,,,,,,,,,published
white-glove-implementation-deck,White Glove Implementation Deck,White glove implementation presentation,content,content-card,deck,micro-learning,document,gladly,,,,,,,,2025-10-30,FALSE,50,https://docs.google.com/presentation/d/1jz0QT608uwqKy4-Q_EHKmCK4LBhGU6-E5O_g91f-nHY/edit,,,,,,,,,,,,,published
white-glove-implementation-service-play,White Glove Implementation Service Play,A strategic offering providing a 30% discount on professional services work above the standard implementation package for qualifying deals.,enablement,enablement-article,,,article,gladly,,,,sales,Alex Tzeng,45 min,,2025-04-25T02:01:00.000Z,FALSE,2,,,,https://docs.google.com/presentation/d/white-glove-deck/edit,https://docs.google.com/document/d/1xHMyzmbOt-Nuq_j-di_z2PRlviG2UTp1n_-OhEMNm28/edit?usp=drive_link,,,,,,,,GTM Strategy,published
